[PeltierCCS 1]
	Time [s]	Tcold	Thot	Aout	CoolTime	Tset	Power
Tue May 09 09:13:33 2017	 -40.00	  18.62	  43.33	        0	 -40.00	        0
Tue May 09 09:13:44 2017	 -39.99	  18.62	  43.41	        0	 -40.00	        0
Tue May 09 09:13:55 2017	 -39.98	  18.65	  43.52	        0	 -40.00	        0
Tue May 09 09:14:05 2017	 -39.99	  18.68	  43.53	        0	 -40.00	        0
Tue May 09 09:14:16 2017	 -39.98	  18.68	  43.59	        0	 -40.00	        0
Tue May 09 09:14:27 2017	 -39.98	  18.71	  43.68	        0	 -40.00	        0
Tue May 09 09:14:37 2017	 -39.98	  18.74	  43.70	        0	 -40.00	        0
Tue May 09 09:14:48 2017	 -39.99	  18.74	  43.66	        0	 -40.00	        0
Tue May 09 09:14:59 2017	 -39.99	  18.74	  43.63	        0	 -40.00	        0
Tue May 09 09:15:09 2017	 -40.00	  18.77	  43.57	        0	 -40.00	        0
Tue May 09 09:15:20 2017	 -40.00	  18.77	  43.51	        0	 -40.00	        0
Tue May 09 09:15:31 2017	 -39.98	  18.80	  43.76	        0	 -40.00	        0
Tue May 09 09:15:41 2017	 -40.00	  18.83	  43.63	        0	 -40.00	        0
Tue May 09 09:15:52 2017	 -40.00	  18.85	  43.63	        0	 -40.00	        0
Tue May 09 09:16:03 2017	 -39.99	  18.85	  43.69	        0	 -40.00	        0
Tue May 09 09:16:13 2017	 -39.98	  18.88	  43.82	        0	 -40.00	        0
Tue May 09 09:16:24 2017	 -39.99	  18.88	  43.75	        0	 -40.00	        0
Tue May 09 09:16:34 2017	 -39.98	  18.91	  43.84	        0	 -40.00	        0
Tue May 09 09:16:45 2017	 -39.98	  18.94	  43.95	        0	 -40.00	        0
Tue May 09 09:16:56 2017	 -39.99	  18.94	  43.82	        0	 -40.00	        0
Tue May 09 09:17:07 2017	 -39.99	  18.97	  43.89	        0	 -40.00	        0
Tue May 09 09:17:17 2017	 -39.99	  18.97	  43.86	        0	 -40.00	        0
Tue May 09 09:17:28 2017	 -39.99	  19.00	  43.94	        0	 -40.00	        0
Tue May 09 09:17:39 2017	 -39.98	  19.00	  44.01	        0	 -40.00	        0
Tue May 09 09:17:49 2017	 -39.99	  19.03	  44.01	        0	 -40.00	        0
Tue May 09 09:18:00 2017	 -39.99	  19.06	  43.96	        0	 -40.00	        0
Tue May 09 09:18:10 2017	 -39.99	  19.06	  43.99	        0	 -40.00	        0
Tue May 09 09:18:21 2017	 -39.99	  19.08	  44.03	        0	 -40.00	        0
Tue May 09 09:18:32 2017	 -39.98	  19.08	  44.14	        0	 -40.00	        0
Tue May 09 09:18:42 2017	 -39.98	  19.11	  44.14	        0	 -40.00	        0
