[PeltierCCS 1]
	Time [s]	Tcold	Thot	Aout	CoolTime	Tset	Power
Tue May 09 12:55:32 2017	 -40.00	  17.44	  42.06	        0	 -40.00	        0
Tue May 09 12:55:43 2017	 -39.99	  17.44	  42.11	        0	 -40.00	        0
Tue May 09 12:55:54 2017	 -39.98	  17.47	  42.26	        0	 -40.00	        0
Tue May 09 12:56:04 2017	 -39.98	  17.50	  42.26	        0	 -40.00	        0
Tue May 09 12:56:15 2017	 -39.99	  17.50	  42.18	        0	 -40.00	        0
Tue May 09 12:56:25 2017	 -39.98	  17.53	  42.34	        0	 -40.00	        0
Tue May 09 12:56:36 2017	 -39.98	  17.56	  42.36	        0	 -40.00	        0
Tue May 09 12:56:47 2017	 -40.00	  17.56	  42.22	        0	 -40.00	        0
Tue May 09 12:56:57 2017	 -39.99	  17.59	  42.30	        0	 -40.00	        0
Tue May 09 12:57:08 2017	 -39.99	  17.59	  42.37	        0	 -40.00	        0
Tue May 09 12:57:19 2017	 -39.99	  17.62	  42.32	        0	 -40.00	        0
Tue May 09 12:57:29 2017	 -39.99	  17.65	  42.42	        0	 -40.00	        0
Tue May 09 12:57:40 2017	 -40.00	  17.65	  42.30	        0	 -40.00	        0
Tue May 09 12:57:51 2017	 -39.99	  17.67	  42.41	        0	 -40.00	        0
Tue May 09 12:58:01 2017	 -40.00	  17.67	  42.26	        0	 -40.00	        0
Tue May 09 12:58:12 2017	 -40.00	  17.67	  42.33	        0	 -40.00	        0
Tue May 09 12:58:22 2017	 -39.98	  17.70	  42.49	        0	 -40.00	        0
Tue May 09 12:58:33 2017	 -39.98	  17.73	  42.52	        0	 -40.00	        0
Tue May 09 12:58:44 2017	 -39.98	  17.76	  42.58	        0	 -40.00	        0
Tue May 09 12:58:54 2017	 -39.98	  17.76	  42.64	        0	 -40.00	        0
Tue May 09 12:59:05 2017	 -39.98	  17.76	  42.62	        0	 -40.00	        0
Tue May 09 12:59:16 2017	 -39.99	  17.79	  42.55	        0	 -40.00	        0
Tue May 09 12:59:26 2017	 -39.99	  17.82	  42.58	        0	 -40.00	        0
Tue May 09 12:59:37 2017	 -39.98	  17.85	  42.70	        0	 -40.00	        0
Tue May 09 12:59:48 2017	 -39.98	  17.85	  42.72	        0	 -40.00	        0
Tue May 09 12:59:58 2017	 -39.98	  17.88	  42.76	        0	 -40.00	        0
Tue May 09 13:00:09 2017	 -39.99	  17.90	  42.74	        0	 -40.00	        0
Tue May 09 13:00:19 2017	 -39.99	  17.90	  42.72	        0	 -40.00	        0
Tue May 09 13:00:30 2017	 -39.99	  17.93	  42.77	        0	 -40.00	        0
Tue May 09 13:00:41 2017	 -39.99	  17.93	  42.75	        0	 -40.00	        0
Tue May 09 13:00:51 2017	 -39.99	  17.96	  42.82	        0	 -40.00	        0
Tue May 09 13:01:02 2017	 -39.99	  17.96	  42.81	        0	 -40.00	        0
Tue May 09 13:01:13 2017	 -39.99	  17.99	  42.78	        0	 -40.00	        0
Tue May 09 13:01:23 2017	 -39.99	  18.02	  42.81	        0	 -40.00	        0
Tue May 09 13:01:34 2017	 -39.98	  18.02	  42.99	        0	 -40.00	        0
Tue May 09 13:01:45 2017	 -39.98	  18.05	  42.99	        0	 -40.00	        0
Tue May 09 13:01:55 2017	 -39.98	  18.05	  43.05	        0	 -40.00	        0
Tue May 09 13:02:06 2017	 -39.98	  18.08	  43.10	        0	 -40.00	        0
Tue May 09 13:02:16 2017	 -39.98	  18.08	  43.13	        0	 -40.00	        0
Tue May 09 13:02:27 2017	 -39.99	  18.11	  43.06	        0	 -40.00	        0
Tue May 09 13:02:38 2017	 -39.99	  18.13	  43.03	        0	 -40.00	        0
Tue May 09 13:02:48 2017	 -39.99	  18.16	  43.11	        0	 -40.00	        0
Tue May 09 13:02:59 2017	 -40.00	  18.16	  42.96	        0	 -40.00	        0
Tue May 09 13:03:10 2017	 -40.00	  18.19	  42.95	        0	 -40.00	        0
Tue May 09 13:03:20 2017	 -40.00	  18.19	  42.97	        0	 -40.00	        0
