[CryoJet 1]
	Time [s]	Temp T[k]	TSet	Shield flow	Sample flow	Heater pow[R5]	Heater pow[R6]	Run	Frame
Tue May 09 08:54:21 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.40	 4	 4
Tue May 09 08:54:32 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.00	 4	 4
Tue May 09 08:54:43 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.40	 4	 4
Tue May 09 08:54:53 2017	 173.00	 173.00	   3.00	   3.00	  20.50	  10.40	 4	 5
Tue May 09 08:55:04 2017	 173.00	 173.00	   3.00	   3.00	  21.70	   9.80	 4	 5
Tue May 09 08:55:15 2017	 172.90	 173.00	   3.00	   3.00	  23.30	  11.00	 4	 5
Tue May 09 08:55:25 2017	 172.80	 173.00	   3.00	   3.00	  18.10	  12.00	 4	 5
Tue May 09 08:55:36 2017	 173.00	 173.00	   3.00	   3.00	  21.40	  12.00	 4	 5
Tue May 09 08:55:47 2017	 173.00	 173.00	   3.00	   3.00	  19.00	   9.40	 4	 5
Tue May 09 08:55:57 2017	 173.00	 173.00	   3.00	   3.00	  20.50	  11.20	 4	 5
Tue May 09 08:56:08 2017	 173.00	 173.00	   3.00	   3.00	  22.50	  10.70	 4	 5
Tue May 09 08:56:19 2017	 173.00	 173.00	   3.00	   3.00	  20.50	  10.30	 4	 5
Tue May 09 08:56:29 2017	 173.00	 173.00	   3.00	   3.00	  20.70	  10.30	 4	 5
Tue May 09 08:56:40 2017	 173.00	 173.00	   3.00	   3.00	  21.60	  10.60	 4	 5
Tue May 09 08:56:50 2017	 173.00	 173.00	   3.00	   3.00	  21.50	  10.30	 4	 5
Tue May 09 08:57:01 2017	 173.00	 173.00	   3.00	   3.00	  22.20	  10.20	 4	 5
Tue May 09 08:57:12 2017	 173.00	 173.00	   3.00	   3.00	  21.50	  10.00	 4	 5
Tue May 09 08:57:22 2017	 173.00	 173.00	   3.00	   3.00	  21.50	  10.30	 4	 5
Tue May 09 08:57:33 2017	 173.00	 173.00	   3.00	   3.00	  21.50	  10.40	 4	 5
Tue May 09 08:57:43 2017	 173.00	 173.00	   3.00	   3.00	  21.60	  10.30	 4	 5
Tue May 09 08:57:54 2017	 173.00	 173.00	   3.00	   3.00	  21.60	  10.40	 5	 1
Tue May 09 08:58:05 2017	 173.00	 173.00	   3.00	   3.00	  21.60	  10.40	 5	 1
Tue May 09 08:58:15 2017	 173.00	 173.00	   3.00	   3.00	  21.60	  10.40	 5	 1
Tue May 09 08:58:26 2017	 173.00	 173.00	   3.00	   3.00	  21.60	  10.40	 5	 1
Tue May 09 08:58:37 2017	 173.00	 173.00	   3.00	   3.00	  21.60	  10.40	 5	 1
Tue May 09 08:58:47 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.40	 5	 1
Tue May 09 08:58:58 2017	 173.00	 173.00	   3.00	   3.00	  21.60	  10.40	 5	 1
Tue May 09 08:59:09 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.40	 5	 1
Tue May 09 08:59:19 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.40	 5	 1
Tue May 09 08:59:30 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 5	 1
Tue May 09 08:59:40 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 5	 1
Tue May 09 08:59:51 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 5	 1
Tue May 09 09:00:02 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 5	 1
Tue May 09 09:00:12 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 5	 1
Tue May 09 09:00:23 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 5	 1
Tue May 09 09:00:33 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 5	 1
Tue May 09 09:00:44 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 5	 2
Tue May 09 09:00:55 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 5	 2
Tue May 09 09:01:05 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 5	 2
Tue May 09 09:01:16 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.60	 5	 2
Tue May 09 09:01:27 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 5	 2
Tue May 09 09:01:37 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 5	 2
Tue May 09 09:01:48 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 5	 2
Tue May 09 09:01:59 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 5	 2
Tue May 09 09:02:09 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.40	 5	 2
Tue May 09 09:02:20 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.40	 5	 2
Tue May 09 09:02:30 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.40	 5	 2
Tue May 09 09:02:41 2017	 173.00	 173.00	   3.00	   3.00	  21.60	  10.40	 5	 2
Tue May 09 09:02:52 2017	 173.00	 173.00	   3.00	   3.00	  21.50	  10.30	 5	 2
Tue May 09 09:03:02 2017	 173.00	 173.00	   3.00	   3.00	  21.60	  10.30	 5	 2
Tue May 09 09:03:13 2017	 173.00	 173.00	   3.00	   3.00	  21.60	  10.30	 5	 2
Tue May 09 09:03:24 2017	 173.00	 173.00	   3.00	   3.00	  21.60	  10.30	 5	 3
Tue May 09 09:03:34 2017	 173.00	 173.00	   3.00	   3.00	  21.60	  10.30	 5	 3
Tue May 09 09:03:45 2017	 173.00	 173.00	   3.00	   3.00	  21.60	  10.40	 5	 3
Tue May 09 09:03:55 2017	 173.00	 173.00	   3.00	   3.00	  21.60	  10.40	 5	 3
Tue May 09 09:04:06 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.40	 5	 3
Tue May 09 09:04:17 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.40	 5	 3
